nombre_original;nombre_canonico;fue_fusionado;frecuencia_total;num_documentos;ids_documentos
18.03.82;18.03.82;no;1;1;1844
1820;1820;no;1;1;1794
1830;1830;no;1;1;1794
19 de Febrero de 1982;19 de Febrero de 1982;no;1;1;1702
19 do corrente mês;19 do corrente mês;no;1;1;1760
1ª Comandancia Móvil De Valdemoro;1ª Comandancia Móvil De Valdemoro;no;1;1;1813
1ª REGION MILITAR;1ª REGION MILITAR;no;1;1;1742
1ª Region Militar;1ª Region Militar;no;1;1;1742
1ª Región Militar;1ª Región Militar;no;1;1;1709
1ª Sección De E.m.;1ª Sección De E.m.;no;1;1;1714
2 de marzo de 1981;2 de marzo de 1981;no;1;1;1769
2/5G;2/5G;no;1;1;1806
20 de Agosto de 1983;20 de Agosto de 1983;no;1;1;1790
20-02-82;20-02-82;no;1;1;1860
20-04-82;20-04-82;no;1;1;1825
22 JUL 81;22 JUL 81;no;1;1;1736
22 de Abril de 1.981;22 de Abril de 1.981;no;2;2;"1732; 1733"
22-02-82;22-02-82;no;1;1;1859
22-03-82;22-03-82;no;1;1;1842
23;23;no;1;1;1794
23 DE FEBRERO;23 DE FEBRERO;no;1;1;1705
23 DE FEBRERO DE 1.981;23 DE FEBRERO DE 1.981;no;1;1;1806
23 De Febrero;23 De Febrero;no;2;2;"1796; 1804"
23 De Febrero (fecha Mencionada, No Es Un Lugar);23 De Febrero (fecha Mencionada, No Es Un Lugar);no;1;1;1822
23 De Febrero (fecha Mencionada, No Lugar Geográfico);23 De Febrero (fecha Mencionada, No Lugar Geográfico);no;1;1;1804
23 de Febrero;23 de Febrero;no;3;3;"1704; 1724; 1804"
23 de Febrero de 1,981;23 de Febrero de 1,981;no;1;1;1810
23 de Febrero de 1.981;23 de Febrero de 1.981;no;1;1;1796
23 de Febrero de 1981;23 de Febrero de 1981;no;1;1;1787
23 de Fevereiro;23 de Fevereiro;no;1;1;1760
23 de febrero;23 de febrero;no;6;6;"1706; 1743; 1757; 1766; 1776; 1781"
23 y 24 de febrero;23 y 24 de febrero;no;2;2;"1720; 1722"
23-03-82;23-03-82;no;1;1;1843
23-F;23-F;no;10;10;"1735; 1778; 1779; 1780; 1782; 1783; 1784; 1787; 1788; 1797"
23-VI-81;23-VI-81;no;1;1;1762
23-f (suceso, No Es Un Lugar);23-f (suceso, No Es Un Lugar);no;1;1;1822
23.02.82;23.02.82;no;1;1;1858
23f;23f;no;1;1;1819
24 de Febrero;24 de Febrero;no;2;2;"1724; 1810"
24 de febrero;24 de febrero;no;3;3;"1706; 1743; 1757"
24 de febrero de 1981;24 de febrero de 1981;no;1;1;1745
24-03.82;24-03.82;no;1;1;1841
24. FEB. 1961;24. FEB. 1961;no;1;1;1760
24.02.82;24.02.82;no;1;1;1857
25 FEB. 1981;25 FEB. 1981;no;1;1;1774
25 de Febrero de 1982;25 de Febrero de 1982;no;1;1;1801
25 de Marzo de 1.981;25 de Marzo de 1.981;no;1;1;1768
25 de marzo de 1981;25 de marzo de 1981;no;1;1;1776
25. Februar 1981;25. Februar 1981;no;1;1;1775
25.02.82;25.02.82;no;1;1;1786
26 de Fevereiro;26 de Fevereiro;no;1;1;1759
26 de Marzo de 1.981;26 de Marzo de 1.981;no;1;1;1740
26 de febrero;26 de febrero;no;2;2;"1743; 1752"
26 de febrero de 1981;26 de febrero de 1981;no;1;1;1767
26-02-82;26-02-82;no;1;1;1856
26.03.82;26.03.82;no;1;1;1840
27 MAR. 1981;27 MAR. 1981;no;1;1;1780
27 de febrero;27 de febrero;no;2;2;"1743; 1754"
27 de marzo de 1981;27 de marzo de 1981;no;1;1;1766
27-04-82;27-04-82;no;1;1;1824
28 de febrero;28 de febrero;no;1;1;1743
28-IV-82;28-IV-82;no;1;1;1805
28.04.82;28.04.82;no;1;1;1823
29-03-82;29-03-82;no;1;1;1839
29-04-82;29-04-82;no;1;1;1822
2R 1201/81;2R 1201/81;no;1;1;1736
2ª Cía. (2ª Compañía);2ª Cía. (2ª Compañía);no;1;1;1845
2ª Región Militar;2ª Región Militar;no;1;1;1852
2ª Sec. De Em;2ª Sec. De Em;no;2;1;1794
2ª Sec. de EM;2ª Sec. de EM;no;1;1;1794
2ª Sección E.n. (sigc) Madrid;2ª Sección E.n. (sigc) Madrid;no;1;1;1734
2° Jeme;2° Jeme;no;1;1;1851
2° Sección De E.m. De La Guardia Civil. Madrid;2° Sección De E.m. De La Guardia Civil. Madrid;no;1;1;1734
3 de Octubre;3 de Octubre;no;1;1;1798
3 de los corrientes;3 de los corrientes;no;1;1;1790
30-4-81;30-4-81;no;1;1;1789
30.03.82;30.03.82;no;1;1;1838
30.04.82;30.04.82;no;1;1;1821
31 de Mayo de 1.982;31 de Mayo de 1.982;no;1;1;1742
34-47+;34-47+;no;1;1;1745
39-494;39-494;no;1;1;1767
39-497;39-497;no;1;1;1780
39-497 G.;39-497 G.;no;1;1;1779
39-497G;39-497G;no;1;1;1778
3G/6734/29-04-82;3G/6734/29-04-82;no;1;1;1822
3ª (región);3ª (región);no;1;1;1831
3ª Región Militar;3ª Región Militar;no;3;3;"1799; 1845; 1852"
4 SET. 1981;4 SET. 1981;no;1;1;1736
4 de marzo;4 de marzo;no;2;2;"1743; 1757"
4 de marzo de 1931;4 de marzo de 1931;no;1;1;1752
4 del corriente;4 del corriente;no;1;1;1720
40'323.2 (46) - 17/31;40'323.2 (46) - 17/31;no;1;1;1776
40'323.2 (46)-19/31;40'323.2 (46)-19/31;no;1;1;1774
40'323.2(46)-14/31;40'323.2(46)-14/31;no;1;1;1775
44 328,2 (46)-1/9;44 328,2 (46)-1/9;no;1;1;1762
441323.2 (48)-1/9;441323.2 (48)-1/9;no;1;1;1765
5 MAR. 1981;5 MAR. 1981;no;1;1;1769
5 de Abril de 1982;5 de Abril de 1982;no;1;1;1836
5 de MARZO de 1981;5 de MARZO de 1981;no;2;2;"1753; 1772"
5 de Marzo de 1.981;5 de Marzo de 1.981;no;1;1;1720
5 de febrero de 1981;5 de febrero de 1981;no;1;1;1770
512ª Comandancia;512ª Comandancia;no;2;1;1712
543ª Comandancia (San Sebastián);543ª Comandancia (San Sebastián);no;1;1;1717
543ª Comandancia (san Sebastián);543ª Comandancia (san Sebastián);no;1;1;1717
6 de MARZO de 1981;6 de MARZO de 1981;no;1;1;1771
63 328(46)-17;63 328(46)-17;no;1;1;1752
6959/04-05-82;6959/04-05-82;no;1;1;1818
7 350-E L V A S;7 350-E L V A S;no;1;1;1761
7 Letrados Defensores;7 Letrados Defensores;no;1;1;1841
7 de abril de 1982;7 de abril de 1982;no;1;1;1770
7497/12-05-82;7497/12-05-82;no;1;1;1814
85/393;85/393;no;1;1;1738
9 de junio de 1.981;9 de junio de 1.981;no;1;1;1707
A;A;no;2;2;"1696; 1699"
A (esposa Del Tte. Coronel Tejero);A (esposa Del Tte. Coronel Tejero);no;1;1;1699
A.e.m.;A.e.m.;no;1;1;1842
A.g.m.;A.g.m.;no;1;1;1831
ABC;ABC;no;1;1;1805
ACCIONES DE PROTESTA;ACCIONES DE PROTESTA;no;3;3;"1745; 1756; 1767"
AFUDAS;AFUDAS;no;1;1;1778
AJEMA;AJEMA;no;1;1;1739
ALEXANDER M HAIG JR;ALEXANDER M HAIG JR;no;1;1;1758
AMB;AMB;no;1;1;1744
AMERICA DEL NORTE Y PACIFICO;AMERICA DEL NORTE Y PACIFICO;no;1;1;1753
AOME;AOME;no;1;1;1796
APOYO ECONOMICO;APOYO ECONOMICO;no;1;1;1783
ARAP./19-04-82;ARAP./19-04-82;no;1;1;1802
ARAP/ 10.03.82;ARAP/ 10.03.82;no;1;1;1799
ARAP/08.03.82;ARAP/08.03.82;no;1;1;1803
ASOCIACION DE MUJERES DE MILITARES Y POLICIAS;ASOCIACION DE MUJERES DE MILITARES Y POLICIAS;no;1;1;1780
ASSEMBLEIA MUNICIPAL DO CONCELHO DE CAMPO MAIOR;ASSEMBLEIA MUNICIPAL DO CONCELHO DE CAMPO MAIOR;no;1;1;1760
Abad;Abad;no;1;1;1695
Abogado;Abogado;no;2;2;"1803; 1816"
Abogado Sr. López Monteró;Abogado Sr. López Monteró;no;1;1;1830
Abogado defensor;Abogado defensor;no;1;1;1725
Abogados;Abogados;no;1;1;1843
Abogados De Los Procesados En La Causa 2/81;Abogados De Los Procesados En La Causa 2/81;no;1;1;1735
Abogados Defensores;Abogados Defensores;no;1;1;1830
Academia De Caballería;Academia De Caballería;no;1;1;1788
Academia De Tráfico;Academia De Tráfico;no;1;1;1815
Academia De Tráfico De La G.c.;Academia De Tráfico De La G.c.;no;1;1;1815
Academia De Tráfico De La Guardia Civil;Academia De Tráfico De La Guardia Civil;no;1;1;1814
Academia General Militar De Zaragoza;Academia General Militar De Zaragoza;no;1;1;1791
Acción Sindicalista Nacional Del Trabajo (asnt);Acción Sindicalista Nacional Del Trabajo (asnt);no;1;1;1704
Acción Sindicalista Nacional del Trabajo (ASNT);Acción Sindicalista Nacional del Trabajo (ASNT);no;1;1;1704
Acción psicológica;Acción psicológica;no;1;1;1795
Acuartelamiento;Acuartelamiento;no;1;1;1856
Ademar Ferández;Ademar Ferández;no;1;1;1766
Administracion Reagan;Administracion Reagan;no;1;1;1758
Administración Central;Administración Central;no;2;1;1800
Adolfo Salvador;Adolfo Salvador;no;1;1;1858
"Agencia ""Cifra""";"Agencia ""Cifra""";no;1;1;1734
Agrupaciones Locales;Agrupaciones Locales;no;1;1;1782
Agrupación (de La Guardia Civil);Agrupación (de La Guardia Civil);no;1;1;1797
Agrupación José Antonio;Agrupación José Antonio;no;1;1;1837
Agrupación Logística (institución);Agrupación Logística (institución);no;1;1;1828
Ajema;Ajema;no;1;1;1739
Al Despacho No. 372;Al Despacho No. 372;no;1;1;1770
Alcala De Henares;Alcala De Henares;no;1;1;1742
Alcalde de Henares;Alcalde de Henares;no;1;1;1798
Alcalde-Médico Forense Municipal;Alcalde-Médico Forense Municipal;no;1;1;1697
Alcaldes;Alcaldes;no;1;1;1782
Alcalá;Alcalá;no;1;1;1847
Alcazar;Alcazar;no;1;1;1784
Alcazar (órgano De Prensa);Alcazar (órgano De Prensa);no;1;1;1784
Alemania;Alemania;no;2;2;"1707; 1838"
Honorable Alexander M. Haig;Alexander M. Haig;si;2;1;1752
Secretary Haig;Alexander M. Haig;si;1;1;1744
Secretario De Estado Haig;Alexander M. Haig;si;1;1;1743
Alexander M. Haig;Alexander M. Haig;no;4;2;"1747; 1748"
Alexander M Haig Jr;Alexander M. Haig;si;1;1;1758
Alexander Haig;Alexander M. Haig;si;1;1;1762
General Armada Comyn;Alfonso;si;1;1;1821
General De División D. Alfonso Armada Comyn;Alfonso;si;1;1;1726
Alfonso Armada Comyn;Alfonso;si;1;1;1725
Don Alfonso Armada Comyn;Alfonso;si;1;1;1724
Alfonso;Alfonso;no;2;1;1694
General De División D. Alfonso Armada Y Comin;Alfonso;si;1;1;1822
Algunas De Las Personas Procesadas Por El 23-f;Algunas De Las Personas Procesadas Por El 23-f;no;1;1;1783
Alianza Popular;Alianza Popular;no;2;1;1835
Aliança Povo Unido;Aliança Povo Unido;no;1;1;1759
Almería;Almería;no;1;1;1812
Almirante;Almirante;no;1;1;1738
Alto Tribunal;Alto Tribunal;no;1;1;1710
Alvarez Fernández;Alvarez Fernández;no;1;1;1838
Amartelamientos (mencionado Como Lugar O Tipo De Lugar, Literal Del Texto);Amartelamientos (mencionado Como Lugar O Tipo De Lugar, Literal Del Texto);no;1;1;1804
Ambos Ministros (de Ee.uu. Y Rfg);Ambos Ministros (de Ee.uu. Y Rfg);no;1;1;1755
America Del Norte Y Pacifico;America Del Norte Y Pacifico;no;1;1;1753
Ampuero;Ampuero;no;1;1;1696
Anbjo No. 1;Anbjo No. 1;no;1;1;1770
Andorra;Andorra;no;1;1;1707
Anexo;Anexo;no;1;1;1857
Antonio Filipe Reguina Pardal;Antonio Filipe Reguina Pardal;no;1;1;1760
Aome;Aome;no;1;1;1797
Aome (CESID);Aome (CESID);no;1;1;1796
Aome (aeródromo De Observación Y Mando De España);Aome (aeródromo De Observación Y Mando De España);no;1;1;1797
Aqui Embajada De España En Washington, Dc;Aqui Embajada De España En Washington, Dc;no;1;1;1758
Aranjuez;Aranjuez;no;1;1;1784
Argentina;Argentina;no;1;1;1707
Armada;Armada;no;3;3;"1822; 1848; 1851"
Art. 286 del Código de Justicia Militar;Art. 286 del Código de Justicia Militar;no;1;1;1725
Art.294 Del Código De Justicia Militar;Art.294 Del Código De Justicia Militar;no;1;1;1813
"Artículo ""Así -asaltamos el Parlamento""";"Artículo ""Así -asaltamos el Parlamento""";no;1;1;1858
Artículo 28;Artículo 28;no;1;1;1738
Artículo 555 del Código de Justicia Militar;Artículo 555 del Código de Justicia Militar;no;1;1;1726
Asalto al Congreso de los Diputados;Asalto al Congreso de los Diputados;no;1;1;1810
Aseprosa;Aseprosa;no;1;1;1853
Asesor General Del Departamento;Asesor General Del Departamento;no;1;1;1736
Asesoria Juridica General;Asesoria Juridica General;no;1;1;1719
Asesoría General;Asesoría General;no;1;1;1735
Asesoría Jurídica Del Cuartel General De La Armada;Asesoría Jurídica Del Cuartel General De La Armada;no;1;1;1716
Asesoría Jurídica General;Asesoría Jurídica General;no;1;1;1719
Asociacion De Mujeres De Militares Y Policias;Asociacion De Mujeres De Militares Y Policias;no;2;1;1780
Assembleia Municipal;Assembleia Municipal;no;1;1;1759
Assembleia Municipal Deste Concelho;Assembleia Municipal Do Concelho De Campo Maior;si;2;1;1759
Assembleia Municipal Do Concelho De Campo Maior;Assembleia Municipal Do Concelho De Campo Maior;no;2;1;1760
Astilleros Miranda;Astilleros Miranda;no;1;1;1828
Audiencia En Oxford;Audiencia En Oxford;no;1;1;1758
Audiencia/no Consta;Audiencia/no Consta;no;1;1;1827
Auto de Procesamiento;Auto de Procesamiento;no;2;2;"1709; 1733"
Auto de procesamiento;Auto de procesamiento;no;2;2;"1728; 1729"
Auto del Consejo Reunido en Sala de Justicia;Auto del Consejo Reunido en Sala de Justicia;no;2;2;"1711; 1713"
Autoridad Judicial (no Consta Explícitamente);Autoridad Judicial (no Consta Explícitamente);no;1;1;1814
Autoridad Militar;Autoridad Militar;no;6;4;"1792; 1793; 1795; 1852"
Autoridad gubernativa;Autoridad gubernativa;no;1;1;1803
Autoridades De La Sala (no Especificadas);Autoridades De La Sala (no Especificadas);no;1;1;1857
Autoridades Militares;Autoridades Militares;no;1;1;1795
Autos de procesamiento;Autos de procesamiento;no;2;2;"1702; 1727"
Autos del Consejo;Autos del Consejo;no;1;1;1825
Avenida Conde Cantanhede;Avenida Conde Cantanhede;no;2;1;1759
Ayte. Gral. Esquivias;Ayte. Gral. Esquivias;no;1;1;1860
Ayte. Gral. Lluch;Ayte. Gral. Lluch;no;1;1;1860
Ayudante de un General;Ayudante de un General;no;1;1;1789
Ayudante del Tte. General Milans - del Bosch;Ayudante del Tte. General Milans - del Bosch;no;1;1;1844
Ayuntamiento De Madrid;Ayuntamiento De Madrid;no;1;1;1843
Añoeta;Añoeta;no;1;1;1803
B;B;no;2;2;"1696; 1699"
B (guardia Civil);B (guardia Civil);no;1;1;1699
BDA. REG. INF.;BDA. REG. INF.;no;1;1;1779
BRIGADA DE INFORMACION INTERIOR;BRIGADA DE INFORMACION INTERIOR;no;1;1;1783
BRIGADA INTERIOR;BRIGADA INTERIOR;no;1;1;1779
Badajoz;Badajoz;no;1;1;1723
Banco;Banco;no;1;1;1707
Banco Central;Banco Central;no;1;1;1780
Banco Central De Barcelona;Banco Central De Barcelona;no;1;1;1708
Banco Central De Barcelona (institución);Banco Central De Barcelona (institución);no;1;1;1707
Banco Central de Barcelona;Banco Central de Barcelona;no;1;1;1708
Baqueira;Baqueira;no;1;1;1787
Bar (ubicación Indeterminada, Probablemente Dentro O Cercano Al Cuartel);Bar (ubicación Indeterminada, Probablemente Dentro O Cercano Al Cuartel);no;1;1;1696
Bar De Intendencia;Bar De Intendencia;no;1;1;1696
Bar De Oficiales;Bar De Oficiales;no;1;1;1696
Barcelona;Barcelona;no;2;2;"1707; 1779"
Base Aerea De Getafe;Base Aerea De Getafe;no;1;1;1742
Base Del Subsector;Base Del Subsector;no;1;1;1838
Capitanes Bobis González (guardia Civil) Y Cid Fortea (intendencia);Bobis González;si;1;1;1815
Bobis González;Bobis González;no;2;1;1841
Bon Julio Vázquez Cacinero, Secretario;Bon Julio Vázquez Cacinero, Secretario;no;1;1;1719
Bonal;Bonal;no;1;1;1831
Botschaft;Botschaft;no;1;1;1775
Brigada De Informacion De Valladolid;Brigada De Informacion De Valladolid;no;2;1;1788
Brigada De Informacion Interior;Brigada De Informacion Interior;no;1;1;1783
Brigada Del Ejército González Lleras;Brigada Del Ejército González Lleras;no;1;1;1825
Brigada González Mesas;Brigada González Mesas;no;1;1;1853
Brigada Interior;Brigada Interior;no;2;2;"1778; 1779"
Brigada Xi;Brigada Xi;no;1;1;1801
Brigada de Informacion de Valladolid;Brigada de Informacion de Valladolid;no;1;1;1788
Brigada del Ejército González Lleras;Brigada del Ejército González Lleras;no;1;1;1825
Bripac;Bripac;no;1;1;1832
Britain (gran Bretaña);Britain (gran Bretaña);no;1;1;1758
Britanica (referido A La Corona Británica);Britanica (referido A La Corona Británica);no;1;1;1772
Bruno Kreisky;Bruno Kreisky;no;1;1;1775
Bt;Bt;no;1;1;1716
Buenos Aires;Buenos Aires;no;1;1;1764
Bufete De Abogado De Su Padre;Bufete De Abogado De Su Padre;no;1;1;1789
Bundesrepublik Deutschland;Bundesrepublik Deutschland;no;1;1;1774
C.;C.;no;1;1;1695
C. De Mandancia De Malaga;C. De Mandancia De Malaga;no;1;1;1734
C. M. E. De Ribera;C. M. E. De Ribera;no;1;1;1704
C. de Navío don CAMILO MENDEZ VIVES;C. de Navío don CAMILO MENDEZ VIVES;no;1;1;1733
C.N. Mendez Vives;C.N. Mendez Vives;no;1;1;1853
C.S.J.M.;C.S.J.M.;no;2;2;"1800; 1802"
C.j.m.;C.j.m.;no;1;1;1802
C.j.m. (código De Justicia Militar);C.j.m. (código De Justicia Militar);no;3;3;"1802; 1811; 1846"
C.s.j.m.;C.s.j.m.;no;3;2;"1800; 1802"
C.s.j.m. (consejo Superior De Justicia Militar);C.s.j.m. (consejo Superior De Justicia Militar);no;1;1;1802
C/ SG / 2818 / 19-02-82;C/ SG / 2818 / 19-02-82;no;1;1;1702
C/. Biarritz;C/. Biarritz;no;1;1;1824
C/. General Cabrera;C/. General Cabrera;no;1;1;1824
C/. Pintos Juan Gris;C/. Pintos Juan Gris;no;1;1;1824
C/D13/10403/30631;C/D13/10403/30631;no;1;1;1707
C/DI/4339/16-03-82;C/DI/4339/16-03-82;no;1;1;1854
C/DI/5584/06-04-82;C/DI/5584/06-04-82;no;1;1;1836
C/DI3/7829/17-05-82;C/DI3/7829/17-05-82;no;1;1;1820
C/SC/6.590/27-04-82;C/SC/6.590/27-04-82;no;1;1;1824
C/SG/2820/20-02-82;C/SG/2820/20-02-82;no;1;1;1860
C/SG/2896/22-02-82;C/SG/2896/22-02-82;no;1;1;1859
C/SG/2992/24-02-82;C/SG/2992/24-02-82;no;1;1;1858
C/SG/3.081/25-02-82;C/SG/3.081/25-02-82;no;1;1;1857
C/SG/3.249/26-02-82;C/SG/3.249/26-02-82;no;1;1;1856
C/SG/3.464/02-03-82;C/SG/3.464/02-03-82;no;1;1;1853
C/SG/3644/05-03-82;C/SG/3644/05-03-82;no;1;1;1852
C/SG/3835/08-03-82;C/SG/3835/08-03-82;no;1;1;1851
C/SG/4020/11-03-82;C/SG/4020/11-03-82;no;1;1;1849
C/SG/4548/18.03.82;C/SG/4548/18.03.82;no;1;1;1844
C/SG/5.338/01-04-82;C/SG/5.338/01-04-82;no;1;1;1834
C/SG/5.577/05-04-82;C/SG/5.577/05-04-82;no;1;1;1830
C/SG/5.622/06.04.82;C/SG/5.622/06.04.82;no;1;1;1832
C/SG/5790/14-04-82;C/SG/5790/14-04-82;no;1;1;1828
C/SG/6886/03-05-82;C/SG/6886/03-05-82;no;1;1;1819
C/SG/7.129/06-05-82;C/SG/7.129/06-05-82;no;1;1;1816
C/SG/7.313/10-05-82;C/SG/7.313/10-05-82;no;1;1;1815
C/SG/8241/24-05-82;C/SG/8241/24-05-82;no;1;1;1811
C/SG6087/20-04-82;C/SG6087/20-04-82;no;1;1;1825
CAPGEN-3;CAPGEN-3;no;1;1;1809
CAPITAN SANCHEZ VALIENTE;CAPITAN SANCHEZ VALIENTE;no;1;1;1708
CAPITANIA;CAPITANIA;no;1;1;1792
CAPITANIA GENERAL 1ª REGION MILITAR (JEM);CAPITANIA GENERAL 1ª REGION MILITAR (JEM);no;1;1;1795
CARRILLO;CARRILLO;no;1;1;1808
CASA DE S. M. EL REY;CASA DE S. M. EL REY;no;1;1;1791
CATORCE DIAS DE ARRESTOS en su domicilio;CATORCE DIAS DE ARRESTOS en su domicilio;no;1;1;1737
CAUSA 2/81;CAUSA 2/81;no;1;1;1851
CAUSA Nº 2/81;CAUSA Nº 2/81;no;1;1;1711
CENTRO SUPERIOR DE INFORMACION DE LA DEFENSA;CENTRO SUPERIOR DE INFORMACION DE LA DEFENSA;no;4;4;"1703; 1709; 1713; 1714"
CESID;CESID;no;31;20;"1700; 1705; 1706; 1711; 1795; 1796; 1797; 1798; 1808; 1814; 1818; 1824; 1839; 1842; 1843; 1845; 1850; 1853; 1857; 1860"
CESID (centro Superior De Información De La Defensa);CESID (centro Superior De Información De La Defensa);no;1;1;1857
CESID (institución);CESID (institución);no;1;1;1839
CG;CG;no;1;1;1780
CIFRA;CIFRA;no;1;1;1772
CIFRA Núm. 93;CIFRA Núm. 93;no;1;1;1753
CLASA BLANCA;CLASA BLANCA;no;1;1;1753
COMANDANTE CORTINA;COMANDANTE CORTINA;no;1;1;1705
COMISARIA GENERAL DE INFORMACION;COMISARIA GENERAL DE INFORMACION;no;3;3;"1745; 1756; 1767"
CONFIDENCIA NÚMERO 517;CONFIDENCIA NÚMERO 517;no;1;1;1734
CONSEJO SUPREMO DE JUSTICIA MILITAR;CONSEJO SUPREMO DE JUSTICIA MILITAR;no;41;41;"1710; 1711; 1713; 1726; 1727; 1728; 1729; 1730; 1731; 1737; 1740; 1811; 1812; 1814; 1815; 1816; 1817; 1819; 1821; 1822; 1823; 1824; 1825; 1826; 1827; 1829; 1830; 1831; 1832; 1833; 1834; 1838; 1841; 1843; 1844; 1845; 1846; 1847; 1848; 1849; 1851"
CORONA;CORONA;no;1;1;1806
CORONEL JUEZ DEL JUZGADO MILITAR ESPECIAL DE LA 1ª REGION MILITAR;CORONEL JUEZ DEL JUZGADO MILITAR ESPECIAL DE LA 1ª REGION MILITAR;no;1;1;1718
CRISDE;CRISDE;no;1;1;1805
CUARTEL GENERAL DE LA JUJEM (GOBIERNO);CUARTEL GENERAL DE LA JUJEM (GOBIERNO);no;1;1;1806
Cabo 1º;Cabo 1º;no;2;1;1710
Cabo José Moya Gómez;Cabo José Moya Gómez;no;2;1;1796
Cabo Rafael Monge;Cabo Rafael Monge;no;2;1;1796
Cadena SER;Cadena SER;no;1;1;1810
Cadena Ser;Cadena Ser;no;2;2;"1810; 1852"
Cafetería Galaxia;Cafetería Galaxia;no;1;1;1723
Caja De Ahorros De Madrid;Caja De Ahorros De Madrid;no;1;1;1719
Calla (directivos De Die Y Dci);Calla (directivos De Die Y Dci);no;1;1;1794
Calle Alberto Aguilera;Calle Alberto Aguilera;no;1;1;1842
Calle Cedaceros;Calle Cedaceros;no;1;1;1815
Calle Fortuny Núm. 4;Calle Fortuny Núm. 4;no;1;1;1710
Calle General Cabrera;Calle General Cabrera;no;3;3;"1843; 1844; 1845"
Calle General Cabrera (vía);Calle General Cabrera (vía);no;1;1;1844
Calle Guzmán El Bueno;Calle Guzmán El Bueno;no;1;1;1756
Calle Juan Gris;Calle Juan Gris;no;3;3;"1816; 1822; 1841"
Calle Lope De Vega (madrid);Calle Lope De Vega (madrid);no;1;1;1745
Calle Pintor Juan Gris;Calle Pintor Juan Gris;no;1;1;1844
Calle Zalaeta;Calle Zalaeta;no;1;1;1697
Cambio-16 (institución);Cambio-16 (institución);no;1;1;1779
