nombre_canonico,num_variantes_fusionadas,variantes,num_documentos_total,ids_documentos
Comandante Pardo,7,Comandante De Infantería D. Ricardo Pardo Zancada; Comandante Pardo; Comandante Pardo Zancada; Comte. Pardo Zancada; Cte. D. Ricardo Pardo Zancada; Cte. Pardo Zancada; D. Ricardo Pardo Zancada,11,1735; 1770; 1819; 1828; 1836; 1842; 1844; 1847; 1853; 1857; 1859
Luis Alvarez Rodríguez,7,D. Jose Alvarez Sola; El Jefe De Guardia Alvarez De Toledo; Guardia Civil D. José Alvarez Sola; Luis Alvarez Rodríguez; Luis Álvarez Rodríguez; Sr. Capitán D. Carlos Alvarez Arenas; Teniente Alvarez,8,1710; 1714; 1730; 1731; 1740; 1742; 1755; 1812
Capitán Gómez Iglesias,6,Cap Gómez Iglesias; Cap. Gómez-iglesias; Capitán Gomez Iglesias; Capitán Gómez Iglesias; Capitán Jomez Iglesias; El Del Capitán Gómez Iglesias,8,1796; 1798; 1824; 1834; 1838; 1839; 1844; 1860
Coronel Ibáñez,6,Coronel De Ingenieros Don Diego Ibañez Ingles; Coronel Ibañez; Coronel Ibañez Ingles; Coronel Ibáñez; Coronel Ibáñez Inglés; Diego Ibañez Ingles,12,1702; 1730; 1809; 1822; 1823; 1824; 1828; 1833; 1846; 1854; 1856; 1860
General Torres Rojas,6,Excmo. Sr. General De División D. Luis Torres Rojas; Excmo. Sr. General De División Don Luis Torres Rojas; Excmo. Sr. General Div. D. Luis Torres Rojas; General Torres Rojas; General Torres Rojas (fiscal); General Torres Rojas (letrados Defensores),10,1727; 1732; 1742; 1811; 1818; 1821; 1847; 1848; 1854; 1859
Alfonso,6,Alfonso; Alfonso Armada Comyn; Don Alfonso Armada Comyn; General Armada Comyn; General De División D. Alfonso Armada Comyn; General De División D. Alfonso Armada Y Comin,6,1694; 1724; 1725; 1726; 1821; 1822
Ilmo. Sr. D. Emilio Alonso Manglano,6,Emilio; Emilio Alonso Mangla; Emilio Alonso Manglano; Emilio Manglano; Ihns Sr. Don. Emilio Manglaro; Ilmo. Sr. D. Emilio Alonso Manglano,5,1713; 1714; 1791; 1798; 1801
Alexander M. Haig,6,Alexander Haig; Alexander M Haig Jr; Alexander M. Haig; Honorable Alexander M. Haig; Secretario De Estado Haig; Secretary Haig,7,1743; 1744; 1747; 1748; 1752; 1758; 1762
Sr. Hermosilla,5,Don Ramón Hermosilla Martín; El Sr. Hermosilla; Ramon Hermosilla Martin; Sr. Hermosilla; Sr. Hermosilla Martin,7,1724; 1725; 1821; 1822; 1831; 1842; 1846
Capitán Don Gil Sanchez Valiente Portillo,5,Capitán Don Gil Sanchez Valiente Portillo; Capitán Sanchez Valiente; Capitán Sánchez-valiente; Don Gil Sanchez-valiente Fortilla; Hermano Del Capitán Sanchez Valiente,5,1707; 1708; 1717; 1718; 1719
Sr. García Carrés,4,Paisano García Carrés; Sr. Carres; Sr. Garcia Carres; Sr. García Carrés,6,1819; 1834; 1853; 1857; 1859; 1860
Sr. De Miguel,4,El Letrado Sr. De Miguel; Letrado Exmo. Sr. D. Adolfo De Miguel Y Garcilopez; Letrado Sr. De Miguel; Sr. De Miguel,10,1722; 1819; 1821; 1825; 1832; 1836; 1843; 1844; 1853; 1857
Coronel Escandell,4,Coronel Escandell; Coronell Escandell; Salvador Escandell Cortés; Sr. Escandell,7,1725; 1823; 1842; 1846; 1849; 1850; 1857
Secretario Relator,4,Relator; Secretario Relator; Sr. Relator; TCOL. Relator,4,1702; 1825; 1846; 1857
TCOL D. Eduardo Fuentes Y Gómez De Salazar,4,Federico Gómez De Salazar Y Nieto; General Gómez De Salazar; Sr. Nieto; TCOL D. Eduardo Fuentes Y Gómez De Salazar,4,1737; 1805; 1827; 1851
Figuras Destacadas De Las Fas,4,Figuras Destacadas De Las Fas; Las Fas; Miembros De Las Fas; Miembros De Los Fas,4,1785; 1804; 1807; 1837
Pueblo Español,4,El Pueblo; El Pueblo De España; El Pueblo Español; Pueblo Español,7,1746; 1751; 1754; 1768; 1769; 1774; 1777
Presidente Del Congreso De Diputados D. Landelino Lavilla,3,Consejero Togado Montull Lavilla; Presidente Del Congreso De Diputados D. Landelino Lavilla; Sr. Lavilla,3,1716; 1773; 1860
Miembros De Las Diferentes Comisiones Militares,3,Comisiones Militares; Miembros De Las Comisiones Militares; Miembros De Las Diferentes Comisiones Militares,3,1799; 1800; 1858
Sr. Labernia,3,Sr. Labernia; Sr. Labernia (defensor Del Coronel Sanmartín); Sr. Labernía,4,1819; 1847; 1850; 1853
Sr. Villalonga,3,Letrado Sr. Villalonga; Sr. García Villalonga; Sr. Villalonga,3,1816; 1845; 1852
D. Manuel Novalvos Y Pérez De Acevedo,3,D. Manuel Novalvos Y Pérez De Acevedo; Sr. Novalbos; Sr. Novalvos,2,1812; 1851
Coronel Manchado,3,Coronel De La G. Civil D. Miguel Manchado; Coronel Manchado; Sr. Coronel D. Miguel Manchado Garcia,8,1700; 1742; 1814; 1838; 1840; 1845; 1846; 1850
Sr. Segura,3,Cabo 1º D. Rafael Monga Segura; Cabo Monge Segura; Sr. Segura,4,1710; 1796; 1839; 1846
Capitán Batista,3,Batista; Capitán Batista; Capitán De Artillería Don Juan Batista Gonzalez,3,1731; 1836; 1843
Jefes Y Oficiales De La Capital (destinatarios De Panfletos),3,Jefes Y Oficiales; Jefes Y Oficiales De La Capital (destinatarios De Panfletos); Otros Jefes Y Oficiales De La Dac,3,1788; 1799; 1842
José Antonio Saenz De Santa María Y Tinturé,3,General Santa María; General Sáenz De Santa María; José Antonio Saenz De Santa María Y Tinturé,3,1721; 1818; 1837
Grupos Y Partidos Situados A La Derecha De Alianza Popular,3,Extrema Derecha; Grupos De Extrema Derecha; Grupos Y Partidos Situados A La Derecha De Alianza Popular,3,1781; 1835; 1837
Teniente General Cabeza Calahorra,3,Generales Cabezas Calahorra; Teniente General Cabeza Calahorra; Tte. Gral. Cabeza Calahorra,3,1805; 1823; 1835
Teniente General Aramburu,3,General Aramburu; José Luis Aramburu Topete; Teniente General Aramburu,4,1721; 1793; 1814; 1830
Confederación General De Trabajadores Del Uruguay,3,Comité Ejecutivo De La Confederación General De Trabajadores Del Uruguay; Confederación General De Trabajadores Del Uruguay; El Ejecutivo,2,1766; 1807
Comandante Inestrillas,3,Capitán Hinestrillas; Comandante Inestrillas; Saenz De Inestrillas,3,1704; 1723; 1790
Diputados,3,"Diputados; Diputados De Las Cortes; Los 200 Diputados Suscriptores De La Moción ""spanish - Democracy""",4,1762; 1773; 1776; 1782
Fuerzas Armadas,3,Fuerzas Armadas; Las Fuerzas Armadas; Mayoría De Las Fuerzas Armadas De España,5,1703; 1746; 1751; 1777; 1778
José Pedro Pérez-llorca,3,D. José Pedro Pérez-llorca Y Rodrigo; Jose Pedro Perez-llorca; José Pedro Pérez-llorca,4,1747; 1748; 1757; 1769
Excmo. Sr. D. Fidel Castro Ruz,3,Excmo. Sr. D. Fidel Castro Ruz; Fidel Castro Ruz; Vuestra Excelencia (refiriéndose A Fidel Castro Ruz),1,1765
Presidente Reagan,3,President Reagan; Presidente Reagan; The President,5,1743; 1746; 1748; 1753; 1758
TCOL D. Manuel Muller Hidalgo,2,Manuel Miler Hidalgo; TCOL D. Manuel Muller Hidalgo,2,1827; 1860
General Juste,2,Don José Juste Fernández; General Juste,5,1724; 1810; 1847; 1854; 1859
El Director De Diario 16,2,Director De Diario 16; El Director De Diario 16,2,1786; 1858
Sr. Gómez García,2,Letrado Sr. Gómez García; Sr. Gómez García,3,1814; 1825; 1858
General De Santiago,2,General De Santiago; Teniente General De Santiago Y Diaz De Mendivil,3,1823; 1835; 1858
Consejeros,2,Consejeros; Sres. Consejeros,3,1842; 1843; 1851
Teniente Coronel De Meer (presidente),2,Teniente Coronel De Meer; Teniente Coronel De Meer (presidente),1,1848
G.c.,2,G.c.; G.c. (garcia Carres),2,1694; 1848
Presidente Del Tribunal,2,El Presidente Del Tribunal; Presidente Del Tribunal,4,1770; 1813; 1833; 1846
Sr. Esquivel,2,Sr. Esquivel; Sr. Esquivel (gómez Iglesias),3,1814; 1844; 1845
Sr. Sanz Arribas Defensor Del Capitán De La Gc. Bobis,2,Sr. Sanz Arribas; Sr. Sanz Arribas Defensor Del Capitán De La Gc. Bobis,2,1826; 1842
Bobis González,2,Bobis González; Capitanes Bobis González (guardia Civil) Y Cid Fortea (intendencia),2,1815; 1841
Sr. Capitán D. Francisco Dusmet Garcia-figueras,2,Capitán De Infantería Dusmet Garcia-figueras; Sr. Capitán D. Francisco Dusmet Garcia-figueras,2,1742; 1840
Don Felipe González,2,Don Felipe González; Felipe Gonzalez,2,1758; 1840
Capitán Abad,2,Capitán Abad; Capitán Abad Gutierrez,4,1812; 1813; 1838; 1839
Jujem,2,Jujem; La Jujem,8,1792; 1803; 1807; 1811; 1829; 1830; 1831; 1833
Policía Nacional,2,Cuerpo De Policía Nacional; Policía Nacional,6,1721; 1745; 1784; 1815; 1828; 1832
Gral. Perez Iñigo,2,Gral. Perez Iñigo; Perez Iñigo,1,1831
General Gutiérrez Mellado,2,General Gutiérrez Meilado; General Gutiérrez Mellado,2,1812; 1826
General Chamorro Martín,2,General Chamorro; General Chamorro Martín,1,1818
Secretario General,2,El Secretario General; Secretario General,2,1781; 1810
General Toquero,2,General Tequero; General Toquero,2,1707; 1805
Los Líderes Políticos,2,Los Líderes Políticos; Líderes Políticos,2,1791; 1803
Dirección En Funciones Del Centro (CESID),2,Dirección En Funciones Del Centro (CESID); La Dirección Del Centro,2,1705; 1795
Junta De Jefes De Estado Mayor,2,Junta De Jefes De Estado Mayor; Miembros De La Junta De Jefes De Estado Mayor,2,1791; 1793
Componentes Del Ejército Destinados En Policía Nacional,2,Componentes Del Ejército Destinados En Policía Nacional; Miembros Del Ejército Destinados En La Policía Nacional,1,1784
Los Implicados En El 23-f. Golpe De Estado,2,Implicados En El 23-f; Los Implicados En El 23-f. Golpe De Estado,2,1778; 1783
El Embajador De España Fernando Arias-salgado,2,El Embajador De España En Londres; El Embajador De España Fernando Arias-salgado,2,1772; 1776
Jefatura Superior De Policia De Madrid,2,Jefatura Superior De Policia De Madrid; Jefatura Superior De Policía De Madrid,3,1745; 1756; 1767
Falange Española Autentica,2,Falange Española Autentica; Felange Española Autentica,2,1756; 1767
Julian Marias,2,Julian Marias; Julián Marías,1,1763
Exmº. Senhor Chanceler Do Consulado De Espanha Em Elvas,2,Consulado Espanhol Em Elvas; Exmº. Senhor Chanceler Do Consulado De Espanha Em Elvas,3,1759; 1760; 1761
Os Portugueses De Sentimentos Democráticos,2,Os Portugueses De Sentimentos Democráticos; Portugueses De Sentimentos Democráticos,2,1760; 1761
Assembleia Municipal Do Concelho De Campo Maior,2,Assembleia Municipal Deste Concelho; Assembleia Municipal Do Concelho De Campo Maior,2,1759; 1760
O Povo Espanhol,2,O Povo Espanhol; Povo Espanhol,2,1759; 1760
Excmo. Sr. Terence A. Todman,2,Excmo. Sr. Terence A. Todman; Terence A. Todman,2,1748; 1757
El Sr. Presidente De Los Estados Unidos,2,El Sr. Presidente De Los Estados Unidos; Sr. Presidente De Los Estados Unidos,1,1754
Embajador De España En Washington,2,Embajada De España En Washington; Embajador De España En Washington,2,1743; 1753
Leopoldo Calvo Sotelo,2,His Excellency Leopoldo Calvo Sotelo; Leopoldo Calvo Sotelo,2,1750; 1753
Manuel Alonso Aguilar,2,Manuel Alonso Aguilar; Manuel Alonso Aquilar,2,1732; 1736
Jose María García Escudero,2,Jose María García Escudero; José María García Escudero,2,1721; 1724
Jefe 501 Comandancia,2,Jefe 501 Comandancia; Jefe 501 Comandarcia,1,1701
Coronel Del Estado Mayor,2,Coronel De Estado Mayor; Coronel Del Estado Mayor,1,1699
Villaviciosa,2,Antonio Villaviciosa; Villaviciosa,2,1694; 1696
Juan Plá,2,Juan Pla; Juan Plá,1,1695
Luis Arana Lorite,1,Luis Arana Lorite,1,1860
José María Fernández Del Rio Fernández,1,José María Fernández Del Rio Fernández,1,1860
Valencia,1,Valencia,11,1787; 1816; 1817; 1819; 1820; 1822; 1824; 1829; 1831; 1850; 1860
Congreso (presidente Del Congreso),1,Congreso (presidente Del Congreso),1,1860
Gobernador Civil De Valencia,1,Gobernador Civil De Valencia,1,1860
Sala,1,Sala,4,1821; 1836; 1850; 1860
Ministerio Fiscal,1,Ministerio Fiscal,9,1702; 1816; 1817; 1818; 1819; 1823; 1857; 1859; 1860
REINA,1,REINA,1,1860
Su Majestad,1,Su Majestad,3,1817; 1851; 1860
CESID,1,CESID,20,1700; 1705; 1706; 1711; 1795; 1796; 1797; 1798; 1808; 1814; 1818; 1824; 1839; 1842; 1843; 1845; 1850; 1853; 1857; 1860
Sector De Valencia,1,Sector De Valencia,1,1860
C/SG/2820/20-02-82,1,C/SG/2820/20-02-82,1,1860
DTOR.,1,DTOR.,6,1811; 1818; 1825; 1849; 1854; 1860
Vista oral 2/81,1,Vista oral 2/81,5,1702; 1818; 1842; 1859; 1860
20-02-82,1,20-02-82,1,1860
Sr. Fiscal,1,Sr. Fiscal,4,1840; 1841; 1843; 1860
Teniente Coronel D. Luis Arana Lorite,1,Teniente Coronel D. Luis Arana Lorite,1,1860
Ayte. Gral. Lluch,1,Ayte. Gral. Lluch,1,1860
Teniente Coronel D. Manuel Miler Hidalgo,1,Teniente Coronel D. Manuel Miler Hidalgo,1,1860
Ayte. Gral. Esquivias,1,Ayte. Gral. Esquivias,1,1860
Teniente Coronel TEJERO,1,Teniente Coronel TEJERO,2,1859; 1860
Presidente Del Consejo,1,Presidente Del Consejo,2,1825; 1859
Consejo Supremo De Justicia Militar,1,Consejo Supremo De Justicia Militar,58,1710; 1711; 1713; 1714; 1716; 1720; 1721; 1722; 1724; 1725; 1726; 1727; 1728; 1729; 1730; 1731; 1737; 1740; 1741; 1806; 1809; 1811; 1812; 1813; 1814; 1815; 1816; 1817; 1818; 1819; 1821; 1822; 1823; 1824; 1825; 1827; 1828; 1829; 1830; 1831; 1833; 1838; 1842; 1843; 1844; 1845; 1846; 1847; 1848; 1849; 1850; 1851; 1852; 1853; 1856; 1857; 1858; 1859
Capitán De La Guardia Civil D. Vicente Gomez Iglesias,1,Capitán De La Guardia Civil D. Vicente Gomez Iglesias,1,1859
Congreso,1,Congreso,44,1702; 1707; 1757; 1769; 1787; 1791; 1792; 1793; 1795; 1811; 1812; 1813; 1815; 1816; 1817; 1818; 1819; 1821; 1822; 1824; 1826; 1827; 1828; 1829; 1830; 1831; 1832; 1833; 1834; 1838; 1840; 1841; 1842; 1844; 1845; 1847; 1848; 1849; 1850; 1851; 1852; 1853; 1856; 1859
No Hay Lugares Mencionados En El Texto Proporcionado.,1,No Hay Lugares Mencionados En El Texto Proporcionado.,7,1710; 1739; 1776; 1798; 1808; 1854; 1859
Dirección General Del Cuerpo (mencionada En La Instrucción),1,Dirección General Del Cuerpo (mencionada En La Instrucción),1,1859
Coronel San Martin,1,Coronel San Martin,1,1859
"REY, S.m. Ó Corona",1,"REY, S.m. Ó Corona",1,1859
C/SG/2896/22-02-82,1,C/SG/2896/22-02-82,1,1859
Consejo Supremo de Justicia Militar,1,Consejo Supremo de Justicia Militar,19,1714; 1720; 1721; 1722; 1724; 1725; 1813; 1818; 1828; 1839; 1840; 1842; 1850; 1852; 1853; 1856; 1857; 1858; 1859
22-02-82,1,22-02-82,1,1859
Diligencia careo,1,Diligencia careo,1,1859
Teniente Coronel Inf. D. Pedro MAS OLIVER,1,Teniente Coronel Inf. D. Pedro MAS OLIVER,1,1859
Sr. CARRES,1,Sr. CARRES,1,1859
Comandante de Infantería D. José CORTINA PRIETO,1,Comandante de Infantería D. José CORTINA PRIETO,1,1859
Tribunal,1,Tribunal,13,1735; 1786; 1805; 1812; 1816; 1823; 1827; 1830; 1837; 1845; 1846; 1855; 1858
Defensores,1,Defensores,8,1702; 1800; 1828; 1834; 1843; 1845; 1851; 1858
Periodistas,1,Periodistas,1,1858
Familias,1,Familias,1,1858
Jefe De Uniforme,1,Jefe De Uniforme,1,1858
Diario 16,1,Diario 16,2,1786; 1858
La Sala,1,La Sala,1,1858
P.j. Ramírez,1,P.j. Ramírez,1,1858
"Dirección General Del Cuerpo (implícita En La Mención De ""un Jefe De Uniforme"")",1,"Dirección General Del Cuerpo (implícita En La Mención De ""un Jefe De Uniforme"")",1,1858
Fiscal,1,Fiscal,20,1802; 1811; 1812; 1813; 1824; 1827; 1828; 1832; 1834; 1838; 1839; 1842; 1844; 1845; 1846; 1847; 1848; 1849; 1855; 1858
Guardia Civil,1,Guardia Civil,18,1699; 1708; 1756; 1814; 1815; 1818; 1826; 1831; 1832; 1834; 1840; 1841; 1845; 1848; 1849; 1852; 1855; 1858
El País,1,El País,2,1839; 1858
C/SG/2992/24-02-82,1,C/SG/2992/24-02-82,1,1858
Vista Oral 2/81,1,Vista Oral 2/81,6,1813; 1839; 1840; 1850; 1857; 1858
23.02.82,1,23.02.82,1,1858
"Artículo ""Así -asaltamos el Parlamento""",1,"Artículo ""Así -asaltamos el Parlamento""",1,1858
Adolfo Salvador,1,Adolfo Salvador,1,1858
Juicio,1,Juicio,1,1858
Comisiones militares,1,Comisiones militares,2,1800; 1858
Sr. Fiscal Togado,1,Sr. Fiscal Togado,1,1857
Presidente De La Sala,1,Presidente De La Sala,6,1702; 1830; 1832; 1839; 1852; 1857
Autoridades De La Sala (no Especificadas),1,Autoridades De La Sala (no Especificadas),1,1857
Oidrep,1,Oidrep,2,1833; 1857
Madrid,1,Madrid,72,1694; 1703; 1709; 1711; 1713; 1714; 1717; 1718; 1719; 1720; 1721; 1722; 1723; 1724; 1725; 1726; 1727; 1728; 1729; 1730; 1731; 1732; 1733; 1734; 1735; 1736; 1737; 1738; 1740; 1741; 1742; 1743; 1745; 1747; 1748; 1749; 1750; 1752; 1754; 1757; 1758; 1762; 1763; 1764; 1765; 1766; 1767; 1770; 1773; 1774; 1775; 1776; 1777; 1778; 1779; 1780; 1781; 1782; 1783; 1789; 1790; 1791; 1792; 1797; 1801; 1806; 1816; 1830; 1833; 1838; 1847; 1857
Lérida,1,Lérida,5,1787; 1825; 1833; 1839; 1857
CESID (centro Superior De Información De La Defensa),1,CESID (centro Superior De Información De La Defensa),1,1857
Pce-cc.oo.,1,Pce-cc.oo.,1,1857
División Azul,1,División Azul,1,1857
Capitanía,1,Capitanía,1,1857
C/SG/3.081/25-02-82,1,C/SG/3.081/25-02-82,1,1857
24.02.82,1,24.02.82,1,1857
Anexo,1,Anexo,1,1857
NOTA de la OIDREP,1,NOTA de la OIDREP,1,1857
Presidente de la Sala,1,Presidente de la Sala,4,1702; 1824; 1832; 1857
Sr. DE MIGUEL,1,Sr. DE MIGUEL,2,1821; 1857
Comandante PARDO,1,Comandante PARDO,1,1857
"El Letrado Sr. Hermosilla, Defensor Del General Armada",1,"El Letrado Sr. Hermosilla, Defensor Del General Armada",1,1856
Relatores,1,Relatores,1,1856
Sr. Liñán,1,Sr. Liñán,1,1856
General Armada,1,General Armada,22,1695; 1702; 1707; 1715; 1809; 1810; 1811; 1816; 1817; 1822; 1824; 1826; 1829; 1831; 1835; 1838; 1840; 1847; 1849; 1850; 1854; 1856
Teniente Coronel D. Angel Torres Riera,1,Teniente Coronel D. Angel Torres Riera,1,1856
Las Dos Hijas Del General Armada,1,Las Dos Hijas Del General Armada,1,1856
Despacho,1,Despacho,1,1856
Casa,1,Casa,4,1699; 1797; 1805; 1856
Casa De Una Hija,1,Casa De Una Hija,1,1856
Villaviciosa 14 (destacamento),1,Villaviciosa 14 (destacamento),1,1856
Acuartelamiento,1,Acuartelamiento,1,1856
Despacho Del Teniente General Gabeiras,1,Despacho Del Teniente General Gabeiras,1,1856
Capitanías,1,Capitanías,1,1856
España,1,España,29,1694; 1703; 1707; 1708; 1743; 1746; 1747; 1750; 1752; 1754; 1755; 1762; 1764; 1765; 1766; 1768; 1771; 1774; 1776; 1782; 1787; 1788; 1793; 1804; 1811; 1818; 1820; 1855; 1856
C/SG/3.249/26-02-82,1,C/SG/3.249/26-02-82,1,1856
SG,1,SG,1,1856
26-02-82,1,26-02-82,1,1856
Vista oral,1,Vista oral,4,1836; 1852; 1853; 1856
causa 2/81,1,causa 2/81,5,1836; 1837; 1853; 1854; 1856
letrado Sr. Hermosilla,1,letrado Sr. Hermosilla,1,1856
defensor,1,defensor,1,1856
El Tribunal,1,El Tribunal,2,1786; 1855
La Defensa,1,La Defensa,1,1855
El Fiscal,1,El Fiscal,4,1802; 1815; 1842; 1855
El REY,1,El REY,6,1754; 1763; 1777; 1785; 1854; 1855
El General Armada,1,El General Armada,2,1817; 1855
Miembros De La Guardia Civil Procesados,1,Miembros De La Guardia Civil Procesados,1,1855
"Miembros De ""primera Linha"" De Fejons",1,"Miembros De ""primera Linha"" De Fejons",1,1855
Jurisdicción Castrense,1,Jurisdicción Castrense,1,1855
Fas (fuerzas Armadas Españolas),1,Fas (fuerzas Armadas Españolas),1,1855
Unión Militar Española (ume),1,Unión Militar Española (ume),1,1855
Primera Linha,1,Primera Linha,1,1855
Fejons,1,Fejons,1,1855
N/RFA:C/DI/ 4132 /11-3-82,1,N/RFA:C/DI/ 4132 /11-3-82,1,1855
Vista pública,1,Vista pública,1,1855
Causa 2/81,1,Causa 2/81,9,1710; 1713; 1735; 1802; 1804; 1807; 1820; 1852; 1855
Incidente,1,Incidente,2,1832; 1855
Defensa,1,Defensa,2,1786; 1855
Jurisdicción castrense,1,Jurisdicción castrense,1,1855
Rey,1,Rey,3,1707; 1746; 1855
Coronel San Martín,1,Coronel San Martín,3,1819; 1850; 1854
S.m. (su Majestad),1,S.m. (su Majestad),1,1854
C/DI/4339/16-03-82,1,C/DI/4339/16-03-82,1,1854
vista pública,1,vista pública,1,1854
Capitán de Navío Menéndez,1,Capitán de Navío Menéndez,2,1819; 1854
